asset_id,file,app_label,compose_target,recommended_dp,notes
icon_web_search,icons/web-search.png,网页搜索,SettingsWebSearchPage,44,透明PNG
icon_conversation_search,icons/conversation-search.png,对话搜索,DrawerSearchBar,44,透明PNG
icon_terminal,icons/terminal.png,终端,SettingsShellPage,44,透明PNG
icon_mcp,icons/mcp-server.png,MCP服务器,SettingsMcpPage,44,透明PNG
icon_plugin,icons/plugin.png,插件,SettingsPluginPage,44,透明PNG
icon_device,icons/device-access.png,设备访问,SettingsDeviceAccessPage,44,透明PNG
icon_proxy,icons/proxy.png,代理,SettingsProxyPage,44,透明PNG
icon_settings,icons/settings.png,设置,SettingsScreen,44,透明PNG
icon_provider,icons/provider.png,提供商,SettingsProviderPage,44,透明PNG
icon_model,icons/model.png,模型,SettingsModelsPage,44,透明PNG
icon_memory,icons/memory.png,记忆,SettingsMemoryPage,44,透明PNG
icon_appearance,icons/appearance.png,外观,SettingsAppearancePage,44,透明PNG
icon_generation,icons/generation.png,回复行为,SettingsGenerationPage,44,透明PNG
icon_title_generation,icons/title-generation.png,标题生成,SettingsTitleGenPage,44,透明PNG
icon_streaming_response,icons/streaming-response.png,流式响应,SettingsGenerationPage,44,透明PNG
icon_transcription,icons/transcription.png,语音转录,SettingsTranscriptionPage,44,透明PNG
icon_image_generation,icons/image-generation.png,图像生成,SettingsImageGenPage,44,透明PNG
icon_prompts,icons/prompts.png,提示词,SettingsPromptsPage,44,透明PNG
icon_system_prompt,icons/system-prompt.png,系统提示词,SystemPromptEditorPage,44,透明PNG
icon_embedding,icons/embedding.png,嵌入模型,EmbeddingDialogs,44,透明PNG
icon_data_control,icons/data-control.png,数据与存储,SettingsDataControlPage,44,透明PNG
icon_auto_backup,icons/auto-backup.png,自动备份,SettingsAutoBackupSection,44,透明PNG
icon_claude_import,icons/claude-import.png,Claude数据导入,SettingsClaudeImportPage,44,透明PNG
icon_sandbox,icons/sandbox.png,沙箱,SettingsSandboxPage,44,透明PNG
icon_workflow,icons/workflow.png,工作流,SettingsWorkflowPage,44,透明PNG
icon_workflow_canvas,icons/workflow-canvas.png,工作流画布,WorkflowCanvasPage,44,透明PNG
icon_workflow_editor,icons/workflow-editor.png,工作流编辑,WorkflowEditorForm,44,透明PNG
icon_workflow_log,icons/workflow-log.png,工作流运行日志,WorkflowRunLogPage,44,透明PNG
icon_custom_colors,icons/custom-colors.png,自定义颜色,SettingsCustomColorsPage,44,透明PNG
icon_illustrations,icons/illustrations.png,插图素材,SettingsIllustrationsPage,44,透明PNG
icon_language,icons/language.png,语言,SettingsLanguagePage,44,透明PNG
icon_logs,icons/logs.png,日志,SettingsLogsPage,44,透明PNG
icon_about,icons/about.png,关于,SettingsAboutPage,44,透明PNG
icon_settings_search,icons/settings-search.png,设置搜索,SettingsSearchPage,44,透明PNG
icon_documentation,icons/documentation.png,文档入口,DocumentationFab,44,透明PNG
icon_health,icons/health.png,健康数据,HealthPage,44,透明PNG
decoration_boat,decorations/orange-boat-transparent.png,橘子船,AssistantMessageContent|WelcomeScreen,120,不接收点击
decoration_branch,decorations/orange-branch.png,橘枝,SettingsScaffold,170,右上角低透明度
decoration_island,decorations/cottage-island.png,小岛页脚,SettingsScreen,190,页面内容末尾
decoration_sprout,decorations/orange-sprout-corner.png,橘瓣嫩芽,AssistantMessageContent,105,消息气泡右下角
decoration_wave,decorations/orange-wave-corner.png,橘瓣海浪,EmptyState,120,低频装饰
